Year,Annual
1990,18.7
1991,19.2
1992,17.9
1993,16.9
1994,21.9
1995,23.1
1996,23.9
1997,24.0
1998,27.2
1999,29.7
2000,31.9
2001,34.4
2002,35.9
2003,34.0
2004,34.6
2005,35.7
2006,36.5
2007,37.2
2008,35.7
2009,32.3
2010,31.5
2011,33.3
2012,34.6
2013,36.6
2014,37.1
2015,38.0
2016,38.8
