Year,Annual
1990,79.5
1991,81.4
1992,84.0
1993,86.0
1994,88.4
1995,91.4
1996,95.1
1997,99.2
1998,102.8
1999,106.4
2000,109.9
2001,113.1
2002,116.2
2003,117.3
2004,119.4
2005,122.6
2006,125.7
2007,130.8
2008,137.6
2009,140.4
2010,142.4
2011,141.3
2012,143.4
2013,145.6
2014,146.8
2015,148.2
2016,151.0
