Year,Annual
1990,38.5
1991,41.9
1992,45.3
1993,49.1
1994,51.8
1995,55.2
1996,58.8
1997,62.0
1998,65.1
1999,66.3
2000,68.6
2001,71.7
2002,75.1
2003,80.1
2004,81.4
2005,84.5
2006,89.9
2007,95.2
2008,97.6
2009,99.8
2010,101.8
2011,104.4
2012,106.3
2013,107.7
2014,110.3
2015,114.1
2016,116.8
