Year,Annual
1990,685.0
1991,675.3
1992,687.3
1993,715.7
1994,748.5
1995,775.9
1996,801.2
1997,829.1
1998,867.8
1999,902.1
2000,930.1
2001,925.1
2002,918.9
2003,914.8
2004,924.0
2005,947.2
2006,988.7
2007,1022.7
2008,1020.2
2009,957.6
2010,954.0
2011,976.3
2012,1003.8
2013,1029.0
2014,1066.2
2015,1108.8
2016,1149.5
