Year,Annual
1990,53.0
1991,52.5
1992,55.3
1993,58.3
1994,60.5
1995,63.9
1996,67.5
1997,70.1
1998,74.3
1999,77.5
2000,80.0
2001,80.4
2002,80.5
2003,83.2
2004,86.7
2005,90.5
2006,96.4
2007,103.2
2008,106.6
2009,102.1
2010,101.6
2011,104.5
2012,109.8
2013,114.0
2014,118.8
2015,124.2
2016,131.3
