Year,Annual
1990,158.0
1991,154.6
1992,156.5
1993,160.6
1994,166.9
1995,173.9
1996,176.3
1997,180.7
1998,184.5
1999,193.1
2000,199.3
2001,199.6
2002,195.6
2003,193.9
2004,197.7
2005,201.3
2006,206.6
2007,214.2
2008,212.8
2009,200.4
2010,197.5
2011,200.9
2012,206.7
2013,211.6
2014,219.1
2015,227.9
2016,235.2
