Year,Annual
1990,42.9
1991,43.1
1992,43.3
1993,44.7
1994,45.4
1995,46.3
1996,51.3
1997,55.4
1998,61.3
1999,64.9
2000,66.6
2001,67.0
2002,68.5
2003,70.5
2004,72.9
2005,74.7
2006,82.0
2007,82.2
2008,79.5
2009,74.7
2010,74.0
2011,75.5
2012,76.3
2013,78.0
2014,80.4
2015,84.1
2016,88.3
