Year,Annual
1990,166.1
1991,159.2
1992,157.8
1993,160.7
1994,163.3
1995,165.1
1996,161.5
1997,158.8
1998,159.2
1999,157.1
2000,155.6
2001,145.1
2002,137.8
2003,129.8
2004,124.1
2005,122.9
2006,121.7
2007,116.7
2008,111.1
2009,94.7
2010,91.4
2011,93.2
2012,97.7
2013,98.5
2014,100.0
2015,104.5
2016,104.7
