Year,Annual
1990,68.4
1991,68.7
1992,74.4
1993,83.3
1994,90.2
1995,92.5
1996,98.4
1997,105.7
1998,115.5
1999,123.7
2000,132.4
2001,128.5
2002,124.6
2003,125.2
2004,125.1
2005,130.0
2006,139.2
2007,148.9
2008,150.7
2009,138.9
2010,145.7
2011,155.3
2012,159.3
2013,164.1
2014,176.7
2015,185.5
2016,194.6
