Year,Annual
1990,17.6
1991,17.6
1992,16.8
1993,18.0
1994,18.8
1995,19.5
1996,20.1
1997,21.6
1998,22.9
1999,24.7
2000,25.3
2001,24.5
2002,24.1
2003,23.2
2004,22.5
2005,22.2
2006,23.1
2007,23.3
2008,23.3
2009,22.5
2010,22.4
2011,22.9
2012,23.2
2013,23.8
2014,24.7
2015,26.3
2016,27.3
